Block size 	   Merge sort time 	   Quick sort time 
  16800 	       0.001799 	      0.001407 
  16900 	       0.001780 	      0.001407 
  17000 	       0.001819 	      0.001462 
  17100 	       0.001809 	      0.001493 
  17200 	       0.001847 	      0.001469 
  17300 	       0.001874 	      0.001497 
  17400 	       0.001856 	      0.001458 
  17500 	       0.001868 	      0.001502 
  17600 	       0.001879 	      0.001560 
  17700 	       0.001894 	      0.001487 
  17800 	       0.001921 	      0.001518 
  17900 	       0.001915 	      0.001573 
  18000 	       0.001924 	      0.001561 
  18100 	       0.001957 	      0.001614 
  18200 	       0.001943 	      0.001581 
  18300 	       0.001958 	      0.001549 
  18400 	       0.001943 	      0.001643 
  18500 	       0.001959 	      0.001682 
  18600 	       0.002053 	      0.001608 
  18700 	       0.002032 	      0.001632 
  18800 	       0.002011 	      0.001633 
  18900 	       0.002040 	      0.001603 
  19000 	       0.002043 	      0.001666 
  19100 	       0.002043 	      0.001676 
  19200 	       0.002066 	      0.001641 
  19300 	       0.002143 	      0.001699 
  19400 	       0.002075 	      0.001731 
  19500 	       0.002093 	      0.001684 
  19600 	       0.002154 	      0.001669 
  19700 	       0.002109 	      0.001749 
  19800 	       0.002125 	      0.001718 
  19900 	       0.002181 	      0.001719 
  20000 	       0.002211 	      0.001851 
  20100 	       0.002241 	      0.001778 
  20200 	       0.002265 	      0.001802 
  20300 	       0.002307 	      0.001838 
  20400 	       0.002270 	      0.001847 
  20500 	       0.002278 	      0.001808 
  20600 	       0.002201 	      0.001776 
  20700 	       0.002262 	      0.001838 
  20800 	       0.002273 	      0.001882 
  20900 	       0.002249 	      0.001830 
  21000 	       0.002266 	      0.001834 
  21100 	       0.002327 	      0.001836 
  21200 	       0.002320 	      0.001857 
  21300 	       0.002292 	      0.001909 
  21400 	       0.002369 	      0.001860 
  21500 	       0.002382 	      0.001869 
  21600 	       0.002373 	      0.001870 
  21700 	       0.002367 	      0.001938 
  21800 	       0.002365 	      0.001915 
  21900 	       0.002403 	      0.001893 
  22000 	       0.002432 	      0.001942 
  22100 	       0.002443 	      0.001932 
  22200 	       0.002427 	      0.001970 
  22300 	       0.002443 	      0.001979 
  22400 	       0.002437 	      0.001985 
  22500 	       0.002480 	      0.001972 
  22600 	       0.002504 	      0.002024 
  22700 	       0.002493 	      0.001998 
  22800 	       0.002497 	      0.002004 
  22900 	       0.002484 	      0.002075 
  23000 	       0.002498 	      0.002012 
  23100 	       0.002516 	      0.002016 
  23200 	       0.002565 	      0.002008 
  23300 	       0.002531 	      0.002067 
  23400 	       0.002527 	      0.002140 
  23500 	       0.002548 	      0.002023 
  23600 	       0.002596 	      0.002078 
  23700 	       0.002621 	      0.002098 
  23800 	       0.002667 	      0.002123 
  23900 	       0.002650 	      0.002151 
  24000 	       0.002715 	      0.002254 
  24100 	       0.002699 	      0.002231 
  24200 	       0.002713 	      0.002285 
  24300 	       0.002634 	      0.002184 
  24400 	       0.002649 	      0.002147 
  24500 	       0.002687 	      0.002169 
  24600 	       0.002764 	      0.002227 
  24700 	       0.002727 	      0.002196 
  24800 	       0.002727 	      0.002260 
  24900 	       0.002771 	      0.002276 
  25000 	       0.002766 	      0.002344 
  25100 	       0.002779 	      0.002287 
  25200 	       0.002747 	      0.002278 
  25300 	       0.002849 	      0.002220 
  25400 	       0.002776 	      0.002264 
  25500 	       0.002850 	      0.002259 
  25600 	       0.002856 	      0.002263 
  25700 	       0.002903 	      0.002459 
  25800 	       0.002874 	      0.002290 
  25900 	       0.002910 	      0.002287 
  26000 	       0.002951 	      0.002318 
  26100 	       0.002906 	      0.002360 
  26200 	       0.002910 	      0.002325 
  26300 	       0.002911 	      0.002334 
